sno,category,Jira,case_Type,def_vals,Raw_Acceptance_Criteria,Acceptance_Criteria
43,Criminal History,241,generic,,"Check PL_DrgCrimFelNewMsnc1Y  range 0~12 (except for -99, -98) ","PL_DrgCrimFelNewMsnc1Y in [-99999,-99998] or PL_DrgCrimFelNewMsnc1Y in range(0, 13)"
44,Criminal History,241,generic,,"Check  PL_DrgCrimFelOldMsnc1Y range 0~12 (except for -99, -98) ","PL_DrgCrimFelOldMsnc1Y in [-99999,-99998] or PL_DrgCrimFelOldMsnc1Y in range(0, 13)"
45,Criminal History,241,generic,,"Check PL_DrgCrimFelNewMsnc7Y  range 0~84 (except for -99, -98) ","PL_DrgCrimFelNewMsnc7Y in [-99999,-99998] or PL_DrgCrimFelNewMsnc7Y in range(0, 85)"
46,Criminal History,241,generic,,"Check  PL_DrgCrimFelOldMsnc7Y range 0~84 (except for -99, -98) ","PL_DrgCrimFelOldMsnc7Y in [-99999,-99998] or PL_DrgCrimFelOldMsnc7Y in range(0, 85)"
47,Criminal History,241,generic,,Check PL_DrgCrimFelCnt1Y <= PL_DrgCrimFelCnt7Y ,PL_DrgCrimFelCnt1Y <= PL_DrgCrimFelCnt7Y
48,Criminal History,241,generic,,"Check PL_DrgCrimFelNewDt1Y >= PL_DrgCrimFelOldDt1Y (except for -99, -98) ","( PL_DrgCrimFelNewDt1Y in [-99999,-99998]) or ( PL_DrgCrimFelOldDt1Y in [-99999,-99998] ) or ( PL_DrgCrimFelNewDt1Y >= PL_DrgCrimFelOldDt1Y )"
49,Criminal History,241,generic,,"Check PL_DrgCrimFelNewDt7Y >= PL_DrgCrimFelOldDt7Y (except for -99, -98) ","( PL_DrgCrimFelNewDt7Y in [-99999,-99998]) or ( PL_DrgCrimFelOldDt7Y in [-99999,-99998] ) or ( PL_DrgCrimFelNewDt7Y >= PL_DrgCrimFelOldDt7Y )"
50,Criminal History,241,generic,,"Check PL_DrgCrimFelNewMsnc1Y <= PL_DrgCrimFelOldMsnc1Y (except for -99, -98) ","( PL_DrgCrimFelNewMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimFelOldMsnc1Y in [-99999,-99998] ) or ( PL_DrgCrimFelNewMsnc1Y <=  PL_DrgCrimFelOldMsnc1Y )"
51,Criminal History,241,generic,,"Check PL_DrgCrimFelNewMsnc7Y <= PL_DrgCrimFelOldMsnc7Y (except for -99, -98)","( PL_DrgCrimFelNewMsnc7Y in [-99999,-99998]) or ( PL_DrgCrimFelOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimFelNewMsnc7Y <=  PL_DrgCrimFelOldMsnc7Y )"
52,Criminal History,241,generic,,"Check PL_DrgCrimFelNewMsnc1Y <= PL_DrgCrimFelNewMsnc7Y (except for -99, -98) ","( PL_DrgCrimFelNewMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimFelNewMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimFelNewMsnc1Y <=  PL_DrgCrimFelNewMsnc7Y )"
53,Criminal History,241,generic,,"Check PL_DrgCrimFelOldMsnc1Y <= PL_DrgCrimFelOldMsnc7Y (except for -99, -98) ","( PL_DrgCrimFelOldMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimFelOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimFelOldMsnc1Y <=  PL_DrgCrimFelOldMsnc7Y )"
54,Criminal History,241,custom,"-99999,-99998","AC11 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimFelNewDt1Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimFelNewDt1Y PL_DrgCrimFelNewMsnc1Y
55,Criminal History,241,custom,"-99999,-99998","AC12 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimFelOldDt1Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimFelOldDt1Y PL_DrgCrimFelOldMsnc1Y
56,Criminal History,241,custom,"-99999,-99998","AC13 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimFelNewDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimFelNewDt7Y PL_DrgCrimFelNewMsnc7Y
57,Criminal History,241,custom,"-99999,-99998","AC14 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimFelOldDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimFelOldDt7Y PL_DrgCrimFelOldMsnc7Y
58,Criminal History,241,generic,,"Check when PL_DrgCrimFelCnt1Y=0, then PL_DrgCrimFelNewDt1Y=PL_DrgCrimFelOldDt1Y=PL_DrgCrimFelNewMsnc1Y=PL_DrgCrimFelOldMsnc1Y=-98",( PL_DrgCrimFelCnt1Y <> 0) or ( PL_DrgCrimFelCnt1Y == 0 and PL_DrgCrimFelNewDt1Y == PL_DrgCrimFelOldDt1Y == PL_DrgCrimFelNewMsnc1Y == PL_DrgCrimFelOldMsnc1Y == -99998)
59,Criminal History,241,generic,,"Check when PL_DrgCrimFelCnt7Y=0, then PL_DrgCrimFelNewDt7Y=PL_DrgCrimFelOldDt7Y=PL_DrgCrimFelNewMsnc7Y=PL_DrgCrimFelOldMsnc7Y=-98 ",( PL_DrgCrimFelCnt7Y <> 0) or ( PL_DrgCrimFelCnt7Y == 0 and PL_DrgCrimFelNewDt7Y == PL_DrgCrimFelOldDt7Y == PL_DrgCrimFelNewMsnc7Y == PL_DrgCrimFelOldMsnc7Y == -99998)
60,Criminal History,241,generic,,"Check when PL_DrgCrimFelCnt1Y>0, then PL_DrgCrimFelNewDt1Y=PL_DrgCrimFelNewDt7Y and PL_DrgCrimFelNewMsnc1Y=PL_DrgCrimFelNewMsnc7Y",( PL_DrgCrimFelCnt1Y <= 0) or ( PL_DrgCrimFelCnt1Y > 0 and ( PL_DrgCrimFelNewDt1Y == PL_DrgCrimFelNewDt7Y ) and ( PL_DrgCrimFelNewMsnc1Y == PL_DrgCrimFelNewMsnc7Y ) )
61,Criminal History,242,generic,,Check PL_DrgCrimNfelCnt1Y range 0~99(except for -99) ,"PL_DrgCrimNfelCnt1Y == -99999 or PL_DrgCrimNfelCnt1Y in range(0, 100)"
62,Criminal History,242,generic,,Check  PL_DrgCrimNfelCnt7Y range 0~999 (except for -99) ,"PL_DrgCrimNfelCnt7Y == -99999 or PL_DrgCrimNfelCnt7Y in range(0, 1000)"
63,Criminal History,242,generic,,"Check PL_DrgCrimNfelNewMsnc1Y  range 0~12 (except for -99, -98) ","PL_DrgCrimNfelNewMsnc1Y in [-99999,-99998] or PL_DrgCrimNfelNewMsnc1Y in range(0, 13)"
64,Criminal History,242,generic,,"Check  PL_DrgCrimNfelOldMsnc1Y range 0~12 (except for -99, -98) ","PL_DrgCrimNfelOldMsnc1Y in [-99999,-99998] or PL_DrgCrimNfelOldMsnc1Y in range(0, 13)"
65,Criminal History,242,generic,,"Check PL_DrgCrimNfelNewMsnc7Y  range 0~84 (except for -99, -98) ","PL_DrgCrimNfelNewMsnc7Y in [-99999,-99998] or PL_DrgCrimNfelNewMsnc7Y in range(0, 85)"
66,Criminal History,242,generic,,"Check  PL_DrgCrimNfelOldMsnc7Y range 0~84 (except for -99, -98) ","PL_DrgCrimNfelOldMsnc7Y in [-99999,-99998] or PL_DrgCrimNfelOldMsnc7Y in range(0, 85)"
67,Criminal History,242,generic,,Check PL_DrgCrimNfelCnt1Y <= PL_DrgCrimNfelCnt7Y,PL_DrgCrimNfelCnt1Y <= PL_DrgCrimNfelCnt7Y
68,Criminal History,242,generic,,"Check PL_DrgCrimNfelNewDt1Y >= PL_DrgCrimNfelOldDt1Y (except for -99, -98) ","( PL_DrgCrimNfelNewDt1Y in [-99999,-99998]) or ( PL_DrgCrimNfelOldDt1Y in [-99999,-99998] ) or ( PL_DrgCrimNfelNewDt1Y >= PL_DrgCrimNfelOldDt1Y )"
69,Criminal History,242,generic,,"Check PL_DrgCrimNfelNewDt7Y >= PL_DrgCrimNfelOldDt7Y (except for -99, -98) ","( PL_DrgCrimNfelNewDt7Y in [-99999,-99998]) or ( PL_DrgCrimNfelOldDt7Y in [-99999,-99998] ) or ( PL_DrgCrimNfelNewDt7Y >= PL_DrgCrimNfelOldDt7Y )"
70,Criminal History,242,generic,,"Check PL_DrgCrimNfelNewMsnc1Y <= PL_DrgCrimNfelOldMsnc1Y (except for -99, -98) ","( PL_DrgCrimNfelNewMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimNfelOldMsnc1Y in [-99999,-99998] ) or ( PL_DrgCrimNfelNewMsnc1Y <=  PL_DrgCrimNfelOldMsnc1Y )"
71,Criminal History,242,generic,,"Check PL_DrgCrimNfelNewMsnc7Y <= PL_DrgCrimNfelOldMsnc7Y (except for -99, -98) ","( PL_DrgCrimNfelNewMsnc7Y in [-99999,-99998]) or ( PL_DrgCrimNfelOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimNfelNewMsnc7Y <=  PL_DrgCrimNfelOldMsnc7Y )"
72,Criminal History,242,generic,,"Check PL_DrgCrimNfelNewMsnc1Y <= PL_DrgCrimNfelNewMsnc7Y (except for -99, -98) ","( PL_DrgCrimNfelNewMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimNfelNewMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimNfelNewMsnc1Y <=  PL_DrgCrimNfelNewMsnc7Y )"
73,Criminal History,242,generic,,"Check PL_DrgCrimNfelOldMsnc1Y <= PL_DrgCrimNfelOldMsnc7Y (except for -99, -98) ","( PL_DrgCrimNfelOldMsnc1Y in [-99999,-99998]) or ( PL_DrgCrimNfelOldMsnc7Y in [-99999,-99998] ) or ( PL_DrgCrimNfelOldMsnc1Y <=  PL_DrgCrimNfelOldMsnc7Y )"
74,Criminal History,242,custom,"-99999,-99998","AC11 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimNfelNewDt1Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimNfelNewDt1Y PL_DrgCrimNfelNewMsnc1Y 
75,Criminal History,242,custom,"-99999,-99998","AC12 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimNfelOldDt1Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimNfelOldDt1Y PL_DrgCrimNfelOldMsnc1Y
76,Criminal History,242,custom,"-99999,-99998","AC13 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimNfelNewDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimNfelNewDt7Y PL_DrgCrimNfelNewMsnc7Y 
77,Criminal History,242,custom,"-99999,-99998","AC14 update AC to take [MIN(InputArchiveDateClean, g_builddrgcrimdt), PL_DrgCrimNfelOldDt7Y]",P_InpClnArchDt  g_builddrgcrimdt PL_DrgCrimNfelOldDt7Y PL_DrgCrimNfelOldMsnc7Y 
78,Criminal History,242,generic,,"Check when PL_DrgCrimNfelCnt1Y=0, then PL_DrgCrimNfelNewDt1Y=PL_DrgCrimNfelOldDt1Y=PL_DrgCrimNfelNewMsnc1Y=PL_DrgCrimNfelOldMsnc1Y=-98 ",( PL_DrgCrimNfelCnt1Y <> 0) or ( PL_DrgCrimNfelCnt1Y == 0 and PL_DrgCrimNfelNewDt1Y == PL_DrgCrimNfelOldDt1Y == PL_DrgCrimNfelNewMsnc1Y == PL_DrgCrimNfelOldMsnc1Y == -99998)
79,Criminal History,243,custom,,"Check when PL_DrgCrimBehaviorIndx7Y = 6, then PL_DrgCrimFelCnt7Y > 0 and 0 <= PL_DrgCrimFelNewMsnc7Y <= 12 ",PL_DrgCrimBehaviorIndx7Y <> 6 or ( PL_DrgCrimBehaviorIndx7Y == 6 and PL_DrgCrimFelCnt7Y > 0 and 0 <= PL_DrgCrimFelNewMsnc7Y <= 12 )
80,Criminal History,242,generic,,"Check when PL_DrgCrimNfelCnt7Y=0, then PL_DrgCrimNfelNewDt7Y=PL_DrgCrimNfelOldDt7Y=PL_DrgCrimNfelNewMsnc7Y=PL_DrgCrimNfelOldMsnc7Y=-98 ",( PL_DrgCrimNfelCnt7Y <> 0) or ( PL_DrgCrimNfelCnt7Y == 0 and PL_DrgCrimNfelNewDt7Y == PL_DrgCrimNfelOldDt7Y == PL_DrgCrimNfelNewMsnc7Y == PL_DrgCrimNfelOldMsnc7Y == -99998)
81,Criminal History,243,custom,,"Check when PL_DrgCrimBehaviorIndx7Y = 5, then PL_DrgCrimCnt7Y > 0 and 0 <= PL_DrgCrimNewMsnc7Y <= 12 ",PL_DrgCrimBehaviorIndx7Y <> 5 or ( PL_DrgCrimBehaviorIndx7Y == 5 and PL_DrgCrimCnt7Y > 0 and 0 <= PL_DrgCrimNewMsnc7Y <= 12 )
82,Criminal History,242,generic,,"Check when PL_DrgCrimNfelCnt1Y>0, then PL_DrgCrimNfelNewDt1Y=PL_DrgCrimNfelNewDt7Y and PL_DrgCrimNfelNewMsnc1Y=PL_DrgCrimNfelNewMsnc7Y",( PL_DrgCrimNfelCnt1Y <= 0) or ( PL_DrgCrimNfelCnt1Y > 0 and ( PL_DrgCrimNfelNewDt1Y == PL_DrgCrimNfelNewDt7Y ) and ( PL_DrgCrimNfelNewMsnc1Y == PL_DrgCrimNfelNewMsnc7Y ) )
83,Criminal History,243,custom,,"Check when PL_DrgCrimBehaviorIndx7Y = 4, then PL_DrgCrimFelCnt7Y > 0 ",PL_DrgCrimBehaviorIndx7Y <> 4 or ( PL_DrgCrimBehaviorIndx7Y == 4 and PL_DrgCrimFelCnt7Y > 0 )
84,Criminal History,243,custom,,"Check when PL_DrgCrimBehaviorIndx7Y = 3, then PL_DrgCrimCnt7Y >= 3 ",PL_DrgCrimBehaviorIndx7Y <> 3 or ( PL_DrgCrimBehaviorIndx7Y == 3 and PL_DrgCrimCnt7Y >= 3 )
85,Criminal History,243,custom,,"Check when PL_DrgCrimBehaviorIndx7Y = 2, then PL_DrgCrimCnt7Y = 2 ",PL_DrgCrimBehaviorIndx7Y <> 2 or ( PL_DrgCrimBehaviorIndx7Y == 2 and PL_DrgCrimCnt7Y == 2 )
86,Criminal History,243,custom,,"Check when PL_DrgCrimBehaviorIndx7Y = 1, then PL_DrgCrimCnt7Y = 1 ",PL_DrgCrimBehaviorIndx7Y <> 1 or ( PL_DrgCrimBehaviorIndx7Y == 1 and PL_DrgCrimCnt7Y  == 1  )
87,Criminal History,243,custom,,"Check when PL_DrgCrimBehaviorIndx7Y = 0, then PL_DrgCrimCnt7Y = 0",PL_DrgCrimBehaviorIndx7Y <> 0 or ( PL_DrgCrimBehaviorIndx7Y == 0 and PL_DrgCrimCnt7Y == 0 )
88,Bankruptcy History,245,,,Check PL_DrgBkCnt1Y range 0~99 (except for -99999) ,"PL_DrgBkCnt1Y == -99999 or PL_DrgBkCnt1Y in range(0, 100)"
89,Bankruptcy History,245,,,Check  PL_DrgBkCnt7Y range 0~999 (except for -99999) ,"PL_DrgBkCnt7Y == -99999 or PL_DrgBkCnt7Y in range(0, 1000)"
90,Bankruptcy History,245,,,Check  PL_DrgBkCnt10Y range 0~999 (except for -99999) ,"PL_DrgBkCnt10Y == -99999 or PL_DrgBkCnt10Y in range(0, 1000)"
91,Bankruptcy History,245,,,Check dates in PL_DrgBkDtList1Y are ordered from earliest to latest ," sorted(list(map(int, ' PL_DrgBkDtList1Y '.split('|') )),reverse=False) == list(map(int,' PL_DrgBkDtList1Y '.split('|'))) "
92,Bankruptcy History,245,,,Check dates in PL_DrgBkDtList7Y are ordered from earliest to latest ," sorted(list(map(int, ' PL_DrgBkDtList7Y '.split('|') )),reverse=False) == list(map(int,' PL_DrgBkDtList7Y '.split('|'))) "
